gov_id,region,rating,film_length,imdb_id,imdb_rating
31704,中華民國,保護級,91,tt35231528,6.4
31712,日本,普遍級,70,tt35652414,7
31713,日本,輔12級,129,tt34459901,7.1
31714,西班牙,普遍級,110,tt11146690,6.9
31715,日本,普遍級,90,tt9668594,5.7
31745,印尼,輔15級,109,tt31434122,5.5
31746,阿富汗,保護級,97,tt11647720,7.2
31748,德國,保護級,98,tt27775137,6.6
31760,美國,輔15級,112,tt0090327,5.7
31762,法國,輔12級,112,tt32086004,6.5
31767,韓國,輔12級,102,tt0120401,6
31769,美國,輔15級,108,tt10374610,7.3
31776,香港,輔15級,88,tt35724819,5.8
31777,美國,保護級,109,tt13650700,6.2
31794,日本,輔15級,99,tt30472557,8.5
31796,捷克,普遍級,84,tt0191383,7.6
31797,美國,輔15級,161,tt30144839,8.3
31799,日本,普遍級,103,tt33256912,6.6
31801,印尼,輔15級,132,tt33349807,5.8
31805,挪威,輔12級,117,tt26745321,6.2
31807,中華民國,輔15級,110,tt38365045,7.3
31808,印尼,普遍級,102,tt27433995,8.1
31809,美國,輔12級,104,tt4682810,5.3
31810,香港,輔12級,104,tt5269560,6.8
31835,美國,輔15級,105,tt31973693,7
31836,日本,保護級,94,tt5889974,4.2
31842,美國,普遍級,98,tt32214143,5.7
31863,香港,保護級,112,tt33830021,5.3
31900,日本,普遍級,106,tt5089786,7.5
31904,日本,保護級,97,tt33829458,6.5
31988,中華民國,普遍級,88,tt0290936,8.1
32086,泰國,限制級,130,tt22530226,7.1
32087,韓國,普遍級,64,tt37510071,8.1
32098,日本,輔12級,67,tt38491451,8.8
32099,美國,保護級,118,tt6604188,6.7
32103,美國,輔15級,91,tt0185247,6
32111,韓國,輔15級,138,tt1527793,8
32112,香港,限制級,125,tt4968738,5.8
32114,日本,輔12級,75,tt38491451,8.8
32116,日本,保護級,101,tt3370702,3.5
8873,日本,普遍級,110,tt1087578,7.9
8878,日本,輔12級,140,tt0408664,8
9161,美國,輔15級,128,tt7784604,7.3
