gov_id,gov_title_zh,gov_title_en,region,rating,official_release_date,publisher,film_length,director,actor_list,source_file,imdb_id,imdb_rating
31685,劇場版 咒術迴戰 懷玉・玉折,JUJUTSU KAISEN: Hidden Inventory / Premature Death – The Movie,日本,保護級,2025/9/5,薩摩亞商羚邦(亞洲)有限公司台灣分公司,110,,,31685_劇場版 咒術迴戰 懷玉・玉折.csv,tt36956670,7.9
31701,麵包超人電影版：小水滴的英雄！,ANPANMAN: Chapon's Hero！,日本,普遍級,2025/9/6,曼迪傳播股份有限公司,58,,,31701_麵包超人電影版：小水滴的英雄！.csv,tt37529019,4.3
31702,光,The light,德國,輔15級,2025/10/3,聯影企業股份有限公司,162,,,31702_光.csv,tt0388562,7
31704,陌路兄弟,Road's End in Taiwan,中華民國,保護級,2025/9/26,綺影映畫有限公司,91,瑪莉亞尼科里埃爾,納曜; 鳳小岳; 皮埃爾安托萬杜比; 林慶台,31704_陌路兄弟.csv,tt35231528,6.4
31712,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),Movie:Utano☆Princesama TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),日本,普遍級,2025/9/5,曼迪傳播股份有限公司,70,,,31712_劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version).csv,tt35652414,7
31713,捏造：史上最惡殺人教師,SHAM,日本,輔12級,2025/9/19,光年映畫有限公司,129,三池崇史,龜梨和也; 大倉孝二; 綾野剛; 木村文乃; 柴崎幸,31713_捏造：史上最惡殺人教師.csv,tt34459901,7.1
31714,鋼琴之子,Wolfgang,西班牙,普遍級,2025/9/19,仲業股份有限公司,110,哈維爾魯伊斯卡德拉,喬迪卡塔蘭; 安娜卡斯提洛; 米奇艾斯帕貝; 安琪戈尼亞隆斯; 貝爾托羅梅羅,31714_鋼琴之子.csv,tt11146690,6.9
31715,致我所愛之人,Belonging,日本,普遍級,2025/9/5,中影股份有限公司,90,東香織,小泉今日子,31715_致我所愛之人.csv,tt9668594,5.7
31745,血怨,PEREWANGAN,印尼,輔15級,2025/9/26,車庫娛樂股份有限公司,109,艾文蘇亞迪,烏利特里亞尼; 珊蒂; 貝比伊芙琳; 達維娜卡拉莫伊,31745_血怨.csv,tt31434122,5.5
31746,希瑪之歌,Sima's Song,阿富汗,保護級,2025/10/13,飛望影像有限公司,97,,,31746_希瑪之歌.csv,tt11647720,7.2
31748,卡夫卡最後的愛,The Glory of Life,德國,保護級,2025/9/27,海鵬影業有限公司,98,喬治馬斯; 茱蒂斯凱夫曼,薩賓塔布瑞亞; 曼努埃爾魯比; 亨麗埃特康芙莉絲,31748_卡夫卡最後的愛.csv,tt27775137,6.6
31760,鬼巫,WITCHBOARD,美國,輔15級,2025/9/12,車庫娛樂股份有限公司,112,恰克羅素,麥蒂遜艾斯曼; 梅蘭妮簡森; 亞倫多明格斯; 傑米坎貝爾鮑爾; 查理特翰; 安東妮亞戴斯培,31760_鬼巫.csv,tt0090327,5.7
31762,約見波布,Meeting with Pol Pot,法國,輔12級,2025/9/26,海鵬影業有限公司,112,潘禮德,葛雷哥瓦柯林; 伊蓮雅各; 希里爾桂伊,31762_約見波布.csv,tt32086004,6.5
31767,醜得要命,THE UGLY,韓國,輔12級,2025/9/20,壹壹喜喜電影股份有限公司,102,延尚昊,朴正民; 權海孝,31767_醜得要命.csv,tt0120401,6
31769,大競走,THE LONG WALK,美國,輔15級,2025/9/12,車庫娛樂股份有限公司,108,法蘭西斯勞倫斯,約書亞奧吉克; 庫柏霍夫曼; 馬克漢米爾; 查理普拉瑪; 王班; 大衛榮松,31769_大競走.csv,tt10374610,7.3
31776,搗破法蘭克,Smashing Frank,香港,輔15級,2025/10/3,華映國際文創股份有限公司,88,蔡康凝,袁富華; 談善言; 楊偉倫; 岑珈其; 林家熙; 楊偲泳,31776_搗破法蘭克.csv,tt35724819,5.8
31777,奇幻導航,A BIG BOLD BEAUTIFUL JOURNEY,美國,保護級,2025/10/2,美商台灣索尼影業發行股份有限公司台灣分公司,109,名田高梧,瑪格羅比; 柯林法洛,31777_奇幻導航.csv,tt13650700,6.2
31794,劇場版『鏈鋸人 蕾潔篇』,Chainsaw Man – The Movie: Reze Arc,日本,輔15級,2025/9/19,美商台灣索尼影業發行股份有限公司台灣分公司,99,吉原達矢,戶谷菊之介; 菲魯茲藍; 坂田將吾; 楠木燈; 上田麗奈,31794_劇場版『鏈鋸人 蕾潔篇』.csv,tt30472557,8.5
31796,傲嬌公主的奇幻冒險,The Proud Princess,捷克,普遍級,2025/9/20,希望影視行銷股份有限公司,84,拉德克貝蘭; 大衛利西,安娜菲亞洛娃; 珍娜斯沃博多瓦; 阿列什普羅哈茲卡,31796_傲嬌公主的奇幻冒險.csv,tt0191383,7.6
