gov_id,title_zh,total_amount,avg_amount_per_week,decline_rate_mean,is_long_tail,release_days,release_round,previous_total_amount,re_release_gap_days,long_tail_strength,region,movie_class,publisher
31201,壞蛋聯盟 2,17429492.0,1244963.71,7.262,True,105,1,0.0,0,-17.361950578665507,美國,保護級,美商美國環球影片股份有限公司台灣分公司
31251,藍色小精靈大電影,23400.0,5850.0,-0.356,False,28,2,4127052.0,29,1.0364780156075606,美國,普遍級,美商美國派拉蒙影片股份有限公司台灣分公司
31301,我在荒野做了一場夢,3391998.0,308363.45,-0.253,True,77,1,0.0,0,1.8562252673916362,中華民國,普遍級,牽猴子股份有限公司
31305,世紀編舞大師,247806.0,30975.75,-0.142,False,56,1,0.0,0,1.8852186873544763,德國,輔12級,聯影企業股份有限公司
31329,全知讀者視角,78380572.0,5598612.29,-0.212,True,105,1,0.0,0,2.1847999131249476,韓國,輔12級,采昌國際多媒體股份有限公司
31352,驚奇4超人：第一步,105535.0,35178.33,-0.026,False,21,2,70670296.0,15,1.3502507077307735,美國,保護級,台灣華特迪士尼股份有限公司
31355,電影蠟筆小新：超華麗！灼熱的春日部舞者們,50437122.0,4585192.91,-0.323,True,77,1,0.0,0,1.6822818019064762,日本,普遍級,車庫娛樂股份有限公司
31364,凶器,25156397.0,2286945.18,1.658,True,77,1,0.0,0,-1.6350685755605041,美國,限制級,美商華納兄弟（遠東）股份有限公司台灣分公司
31365,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,826692109.0,63591700.69,-0.261,True,91,1,0.0,0,1.950263366585676,日本,輔12級,木棉花國際股份有限公司
31402,天作之合,12725063.0,1156823.91,4.55,True,77,1,0.0,0,-8.8214186067474,美國,普遍級,美商台灣索尼影業發行股份有限公司台灣分公司
31474,角頭－鬥陣欸,188457553.0,17132504.82,-0.465,True,77,1,0.0,0,1.32942505763658,中華民國,限制級,威視股份有限公司
31502,怪奇寶貝,695393.0,115898.83,-0.474,False,49,1,0.0,0,1.0937862509235936,美國,保護級,車庫娛樂股份有限公司
31507,一兆$遊戲　劇場版,1590048.0,159004.8,-0.249,True,77,1,0.0,0,1.8661648939907882,日本,保護級,天馬行空數位有限公司
31520,龍之心-靈界探訪記-,4835706.0,483570.6,0.984,False,70,1,0.0,0,0.03836632436477397,日本,輔12級,台灣幸福科學出版有限公司
31523,樂來越愛你,4777799.0,682542.71,-0.475,False,49,1,0.0,0,1.0917068093819138,英國,普遍級,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司
31531,詭鄉,2826818.0,565363.6,1.041,False,35,1,0.0,0,-0.07346213823835011,中華民國,輔12級,威視股份有限公司
