gov_id,atmovies_id,gov_title_zh,gov_title_en,region,rating,release_date,publisher,film_length,director,actor_list,source_file
30864,feen15551346,世界就是這樣結束的,The End,英國,輔12級,2025-10-09,東昊影業有限公司,8880,約書亞奧本海默,蒂妲絲雲頓; 喬治麥凱; tim mcinnerny; 麥可夏儂,30864_世界就是這樣結束的_feen15551346.csv
30940,fben87181546,捍衛任務：復仇芭蕾,BALLERINA,美國,限制級,2025-06-06,車庫娛樂股份有限公司,7440,,,30940_捍衛任務：復仇芭蕾_fben87181546.csv
31027,ffen16311594,F1電影,F1,美國,保護級,2025-06-24,美商華納兄弟（遠東）股份有限公司台灣分公司,9300,喬瑟夫柯辛斯基,凱莉肯頓; 哈維爾巴登; 達姆森伊卓瑞斯; 布萊德彼特,31027_F1電影_ffen16311594.csv
31037,fsen11092020,暗影部隊,SHADOW FORCE,美國,輔12級,2025-10-03,車庫娛樂股份有限公司,6180,喬卡納漢,馬克史壯; 歐馬希; 凱莉華盛頓,31037_暗影部隊_fsen11092020.csv
31159,foen31520900,皇家保姆亞瑟,OUT OF THE NEST,泰國,普遍級,2025-10-03,可樂藝術文創股份有限公司,5100,阿圖羅a赫南德茲; 安德魯戈登; 維拉帕特拉吉​​納納溫; 傑夫舒,,31159_皇家保姆亞瑟_foen31520900.csv
31190,fdjp33512868,電影哆啦A夢：大雄的繪畫世界物語,DORAEMON THE MOVIE: NOBITA'S ART WORLD TALES,日本,普遍級,2025-07-18,車庫娛樂股份有限公司,6240,,,31190_電影哆啦A夢：大雄的繪畫世界物語_fdjp33512868.csv
31301,fscn98058855,我在荒野做了一場夢,Seven Ages of a Man,中華民國,普遍級,2025-08-22,牽猴子股份有限公司,6180,沈可尚,徐仁修; 徐仁修,31301_我在荒野做了一場夢_fscn98058855.csv
31355,fcjp35009463,電影蠟筆小新：超華麗！灼熱的春日部舞者們,CRAYON SHINCHAN THE MOVIE: SUPER HOT! THE SPICY KASUKABE DANCERS,日本,普遍級,2025-08-22,車庫娛樂股份有限公司,6300,,,31355_電影蠟筆小新：超華麗！灼熱的春日部舞者們_fcjp35009463.csv
31364,fwen26581740,凶器,WEAPONS,美國,限制級,2025-08-08,美商華納兄弟（遠東）股份有限公司台灣分公司,7680,札克克瑞格,黃凱旋; 艾美麥蒂根; 朱莉亞嘉納; 喬許布洛林,31364_凶器_fwen26581740.csv
31365,fdjp32820897,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,Demon Slayer：Kimetsu no Yaiba Infinity Castle,日本,輔12級,2025-08-06,木棉花國際股份有限公司,9240,,,31365_劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲_fdjp32820897.csv
31402,fmen30253473,天作之合,MATERIALISTS,美國,普遍級,2025-08-23,美商台灣索尼影業發行股份有限公司台灣分公司,6960,席琳宋,克里斯伊凡; 達柯塔強生; 佩德羅帕斯卡,31402_天作之合_fmen30253473.csv
31474,fgcn53656183,角頭－鬥陣欸,GATAO: Big Brothers,中華民國,限制級,2025-08-08,威視股份有限公司,7380,姚宏易; 姜瑞智,高捷; 夏靖庭; 蔡振南; 太保; 龍天翔; 喜翔; 王識賢,31474_角頭－鬥陣欸_fgcn53656183.csv
31520,fdjp36551651,龍之心-靈界探訪記-,ドラゴン・ハート-霊界探訪記-,日本,輔12級,2025-08-30,台灣幸福科學出版有限公司,7140,今掛勇,深見梨加; 廣瀨千夏; 淺野真澄,31520_龍之心-靈界探訪記-_fdjp36551651.csv
31523,flus43783958,樂來越愛你,La La Land,英國,普遍級,2025-09-12,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,7620,,,31523_樂來越愛你_flus43783958.csv
31541,focn20865078,熱烈,One and Only,中國大陸,普遍級,2025-09-13,恆星多媒體股份有限公司,7380,大鵬,王一博; 黃渤,31541_熱烈_focn20865078.csv
31596,fcen22898462,厲陰宅：最終聖事,The Conjuring：Last Rites,美國,輔15級,2025-09-03,美商華納兄弟（遠東）股份有限公司台灣分公司,8100,麥可查維斯,薇拉法蜜嘉; 派翠克威爾森,31596_厲陰宅：最終聖事_fcen22898462.csv
31651,ften31184028,永遠在一起,TOGETHER,美國,輔15級,2025-09-26,采昌國際多媒體股份有限公司,6060,麥可山克斯,戴夫法蘭科; 愛莉森布里,31651_永遠在一起_ften31184028.csv
