gov_id,title_zh,release_round,is_re_release,official_release_date_x,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount,same_class_amount_last_week,market_heat_level,gov_title_zh,gov_title_en,region,movie_class,official_release_date_y,publisher,film_length,director,actor_list,source_file,long_tail_strength,retention_index
27899,96分鐘,1,False,2025-09-05,2025-09-01,2025-11-02,63,9,9,196353314.0,708850.0,21817034.89,78761.11,39730790.0,2025-09-15~2025-09-21,94,92.56,0.0,-0.046,2.067,-0.826,False,上映中,2025-09-01,2025-11-03 11:04:38,-0.848,8.79,6,5,衰退,需行動,277.0,0,0.0,0,0.0,3483269.1605,A,96分鐘,96 MINUTES,中華民國,輔12級,2025-09-05,華影國際影藝有限公司,,洪子烜,林柏宏; 王柏傑; 宋芸樺; 李李仁,27899_96分鐘.csv,-2.4568582942246473,-0.033500000000000085
29081,粗獷派建築師,2,True,2025-02-27,2025-09-29,2025-10-19,21,3,3,110178.0,366.0,36726.0,122.0,46838.0,2025-10-13~2025-10-19,1,1.0,0.053,0.248,0.165,0.442,False,下檔,2025-02-24,2025-11-03 11:04:38,0.518,0.0,0,3,成長中,正常,301.03,1,6340754.0,120,487750.31,2439313.4121276597,E,粗獷派建築師,THE BRUTALIST,美國,輔12級,2025-02-27,美商美國環球影片股份有限公司台灣分公司,,布拉迪科貝特,費莉絲蒂瓊斯; 喬歐文; 史黛西馬汀; 亞歷桑德羅尼沃拉; 安卓亞布洛迪; 拉菲卡西迪; 蓋皮爾斯,29081_粗獷派建築師.csv,1.1575557915351087,0.9175
29111,台灣超人,2,True,2024-12-06,2025-08-11,2025-09-28,49,7,6,370440.0,1628.0,61740.0,271.33,93080.0,2025-08-18~2025-08-24,5,2.33,0.477,-0.125,0.518,-0.219,False,下檔,2024-12-02,2025-11-03 11:04:38,2.027,1.49,1,5,成長中,正常,227.54,1,27387382.0,15,829920.67,3483269.1605,D,台灣超人,Taiwan Unsung Hero,中華民國,普遍級,2024-12-06,牽猴子股份有限公司,,曲全立,,29111_台灣超人.csv,1.0022908230896808,0.6695714285714285
29378,我家的事,1,False,2025-09-12,2025-09-08,2025-11-02,56,8,8,9928017.0,38331.0,1241002.12,4791.38,3264678.0,2025-09-15~2025-09-21,66,43.38,-0.471,-0.418,1.556,-0.772,False,上映中,2025-09-08,2025-11-03 11:04:38,-0.93,9.39,6,2,衰退,需行動,259.01,0,0.0,0,0.0,3483269.1605,B,我家的事,Family Matters,中華民國,保護級,2025-09-12,酷映有影工作室有限公司,,潘客印,曾敬驊; 高伊玲; 藍葦華; 黃珮琪,29378_我家的事.csv,-1.221656864998938,0.22199999999999998
29380,失明,1,False,2025-09-19,2025-09-15,2025-11-02,49,7,7,2419129.0,9391.0,345589.86,1341.57,1220588.0,2025-09-15~2025-09-21,71,31.0,-0.72,-0.71,-0.072,-0.464,False,上映中,2025-09-15,2025-11-03 11:04:38,-0.913,9.61,6,2,衰退,需行動,257.6,0,0.0,0,0.0,3483269.1605,C,失明,Blind Love,中華民國,輔15級,2025-09-19,周子娛樂有限公司,,周美豫,王渝萱; 李銘忠; 吳可熙; 林依晨; 劉敬; 李沐,29380_失明.csv,1.9297217506788877,0.964
29513,異教詭屋,2,True,2024-11-29,2025-09-15,2025-10-19,35,5,3,45506.0,160.0,15168.67,53.33,16960.0,2025-10-13~2025-10-19,1,1.0,-0.061,0.083,0.0,0.0,False,下檔,2024-11-25,2025-11-03 11:04:38,0.152,0.0,0,3,穩定,正常,284.41,1,3976777.0,239,497097.12,2439313.4121276597,E,異教詭屋,HERETIC,美國,輔15級,2024-11-29,車庫娛樂股份有限公司,,布萊恩伍茲; 史考特貝克,休葛蘭; 蘇菲柴契爾; 克洛伊伊絲特,29513_異教詭屋.csv,1.791759469228055,0.8
29611,交換禮物,1,False,2024-12-25,2024-12-23,2025-10-26,308,44,40,8472157.0,34406.0,211803.92,860.15,1470683.0,2024-12-30~2025-01-05,55,9.62,-0.153,-0.248,0.161,0.0,True,上映中,2024-12-23,2025-11-03 11:04:38,1.531,0.0,1,3,成長中,正常,246.24,0,0.0,0,0.0,3483269.1605,B,交換禮物,DEAR  BLACK SHEEP,中華民國,普遍級,2024-12-25,台北双喜電影發行股份有限公司,,林明謙,曾寶儀,29611_交換禮物.csv,3.193789828917298,0.8740454545454546
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,2,True,2025-01-03,2025-06-23,2025-07-13,21,3,2,15790.0,70.0,7895.0,35.0,8970.0,2025-06-23~2025-06-29,1,1.0,-0.24,0.0,0.0,0.0,False,下檔,2024-12-30,2025-11-03 11:04:38,0.0,0.0,1,2,穩定,正常,225.57,1,144173767.0,36,7208688.35,4661519.714814815,E,劇場版「進擊的巨人」完結篇THE LAST ATTACK,Attack on Titan: THE LAST ATTACK,日本,輔12級,2025-01-03,木棉花國際股份有限公司,,,,29653_劇場版「進擊的巨人」完結篇THE LAST ATTACK.csv,1.3862943611198906,0.8333333333333333
29831,乖女孩,2,True,2025-01-17,2025-09-22,2025-10-19,28,4,3,52527.0,189.0,17509.0,63.0,20190.0,2025-10-13~2025-10-19,1,1.0,-0.351,0.118,-0.117,0.0,False,下檔,2025-01-13,2025-11-03 11:04:38,0.03,0.0,0,3,穩定,正常,277.92,1,5232729.0,190,581414.33,2439313.4121276597,E,乖女孩,BABY GIRL,美國,限制級,2025-01-17,車庫娛樂股份有限公司,,哈琳娜瑞金,蘇菲魏爾德; 安東尼奧班德拉斯; 哈里斯迪金森; 妮可基嫚,29831_乖女孩.csv,1.4211336766793106,0.8165
29882,進行曲,1,False,2025-08-29,2025-08-25,2025-11-02,70,10,10,9878157.0,38900.0,987815.7,3890.0,2629324.0,2025-08-25~2025-08-31,81,37.0,-0.602,-0.409,0.012,-0.859,False,上映中,2025-08-25,2025-11-03 11:04:38,-0.904,8.73,2,3,衰退,需行動,253.94,0,0.0,0,0.0,3483269.1605,B,進行曲,Marching Boys,中華民國,普遍級,2025-08-29,華映國際文創股份有限公司,,姜瑞智,余杰恩; 劉育仁; 黃迪揚; 馬志翔; 李李仁; 牧森,29882_進行曲.csv,2.3691205295247904,0.994
