gov_id,gov_title_zh,gov_title_en,region,rating,official_release_date,publisher,film_length,director,actor_list,source_file
30021,辛辛監獄劇團,Sing Sing,美國,保護級,2025-02-21,薩摩亞商雄讚股份有限公司台灣分公司,106,格雷格克韋達,克拉倫斯麥克林; 科爾曼多明哥; 西恩聖荷西,30021_辛辛監獄劇團.csv
30039,"劇場版 YOASOBI 5th ANNIVERSARY DOME LIVE 2024 ""超現實""","YOASOBI 5th ANNIVERSARY DOME LIVE 2024 ""SURREALISM""",日本,普遍級,2025-02-21,薩摩亞商羚邦(亞洲)有限公司台灣分公司,157,,,30039_劇場版 YOASOBI 5th ANNIVERSARY DOME LIVE 2024 _超現實_.csv
30062,鬼吹簫,THE PIPER,美國,輔12級,2025-10-09,車庫娛樂股份有限公司,95,埃林格爾托羅森,朱利安山德斯; 夏綠蒂霍普,30062_鬼吹簫.csv
30091,大濛,A Foggy Tale,中華民國,保護級,2025-10-08,華文創股份有限公司,133,,,30091_大濛.csv
30155,QUEER,QUEER,美國,限制級,2025-03-21,采昌國際多媒體股份有限公司,136,盧卡格達戈尼諾,德魯史塔基; 丹尼爾克雷格; 蕾絲莉蔓薇爾,30155_QUEER.csv
30296,跳進部落的孩子,Dancing Home,中華民國,普遍級,2025-04-17,摩登星球影業有限公司,89,王政一; 王政一,布拉瑞揚帕格勒法,30296_跳進部落的孩子.csv
30366,取精急轉彎,Spermageddon,挪威,輔15級,2025-04-25,原創娛樂股份有限公司,79,雷斯穆斯a席維特森; 湯姆維爾科拉,克里斯蒂安弗雷德里克米克爾森; 雅斯肯尼; 娜絲琳庫斯拉維,30366_取精急轉彎.csv
30430,會計師 2,THE ACCOUNTANT 2,美國,輔15級,2025-04-21,美商華納兄弟（遠東）股份有限公司台灣分公司,132,蓋文歐康諾,辛西亞雅代羅賓森; 丹妮雅皮內達; 班艾佛列克; jk 西蒙斯; 強柏恩瑟,30430_會計師 2.csv
30436,泣聲驚魂,The Wailing,西班牙,輔15級,2025-05-09,原創娛樂股份有限公司,107,佩德羅馬丁卡萊羅,瑪萊娜比利亞; 伊絲特伊克斯波席多; 瑪蒂爾德奧利維,30436_泣聲驚魂.csv
30497,沈睡的水下巨人,SHIPWRECKS TAIWAN,中華民國,普遍級,2025-04-25,牽猴子股份有限公司,93,李景白; 李景白; 李景白,,30497_沈睡的水下巨人.csv
