current_week_active_idx,gap_real_week_2to1,gap_real_week_1tocurrent,boxoffice_week_2,boxoffice_week_1,audience_week_2,audience_week_1,screens_week_2,screens_week_1,open_week1_days,open_week1_boxoffice,open_week1_boxoffice_daily_avg,open_week2_boxoffice,amount,film_length_x,is_restricted,release_month_sin,release_month_cos,region,film_length_y
5,0,0,2767891,1343836,11143,5301,62,52,3,624330,208110,1853892,718687,105,0,-0.5,-0.866025404,美國,105
6,0,0,1343836,718687,5301,2847,52,17,3,624330,208110,1853892,467377,105,0,-0.5,-0.866025404,美國,105
7,0,0,718687,467377,2847,1793,17,14,3,624330,208110,1853892,251618,105,0,-0.5,-0.866025404,美國,105
8,0,0,467377,251618,1793,931,14,12,3,624330,208110,1853892,150288,105,0,-0.5,-0.866025404,美國,105
9,0,0,251618,150288,931,580,12,9,3,624330,208110,1853892,63285,105,0,-0.5,-0.866025404,美國,105
10,0,0,150288,63285,580,244,9,7,3,624330,208110,1853892,30050,105,0,-0.5,-0.866025404,美國,105
11,0,0,63285,30050,244,116,7,5,3,624330,208110,1853892,21284,105,0,-0.5,-0.866025404,美國,105
12,0,0,30050,21284,116,86,5,4,3,624330,208110,1853892,16481,105,0,-0.5,-0.866025404,美國,105
3,0,0,2631310,2998804,10462,11965,74,74,3,2631310,877103.3333,2998804,1110413,94,0,-0.866025404,-0.5,英國,94
4,0,0,2998804,1110413,11965,4420,74,69,3,2631310,877103.3333,2998804,273751,94,0,-0.866025404,-0.5,英國,94
5,0,0,1110413,273751,4420,1082,69,36,3,2631310,877103.3333,2998804,68011,94,0,-0.866025404,-0.5,英國,94
6,0,0,273751,68011,1082,268,36,12,3,2631310,877103.3333,2998804,22649,94,0,-0.866025404,-0.5,英國,94
7,0,0,68011,22649,268,88,12,3,3,2631310,877103.3333,2998804,14000,94,0,-0.866025404,-0.5,英國,94
8,0,0,22649,14000,88,56,3,3,3,2631310,877103.3333,2998804,3430,94,0,-0.866025404,-0.5,英國,94
3,0,0,1113943,1197989,4582,4908,67,67,7,1113943,159134.7143,1197989,260305,101,0,-2.45E-16,1,美國,101
4,0,0,1197989,260305,4908,1056,67,64,7,1113943,159134.7143,1197989,107609,101,0,-2.45E-16,1,美國,101
5,0,0,260305,107609,1056,429,64,15,7,1113943,159134.7143,1197989,40155,101,0,-2.45E-16,1,美國,101
6,0,0,107609,40155,429,154,15,5,7,1113943,159134.7143,1197989,16940,101,0,-2.45E-16,1,美國,101
7,0,0,40155,16940,154,69,5,4,7,1113943,159134.7143,1197989,6425,101,0,-2.45E-16,1,美國,101
3,0,0,14935288,14248342,57594,54538,98,98,5,14935288,2987057.6,14248342,11202664,110,0,-0.866025404,-0.5,中華民國,110
4,0,0,14248342,11202664,54538,42612,98,99,5,14935288,2987057.6,14248342,8285263,110,0,-0.866025404,-0.5,中華民國,110
5,0,0,11202664,8285263,42612,31371,99,96,5,14935288,2987057.6,14248342,4544207,110,0,-0.866025404,-0.5,中華民國,110
6,0,0,8285263,4544207,31371,17310,96,90,5,14935288,2987057.6,14248342,2407612,110,0,-0.866025404,-0.5,中華民國,110
7,0,0,4544207,2407612,17310,9159,90,90,5,14935288,2987057.6,14248342,2114145,110,0,-0.866025404,-0.5,中華民國,110
8,0,0,2407612,2114145,9159,7953,90,83,5,14935288,2987057.6,14248342,991911,110,0,-0.866025404,-0.5,中華民國,110
9,0,0,2114145,991911,7953,3767,83,65,5,14935288,2987057.6,14248342,592703,110,0,-0.866025404,-0.5,中華民國,110
10,0,0,991911,592703,3767,2244,65,48,5,14935288,2987057.6,14248342,360894,110,0,-0.866025404,-0.5,中華民國,110
11,0,0,592703,360894,2244,1342,48,28,5,14935288,2987057.6,14248342,139874,110,0,-0.866025404,-0.5,中華民國,110
12,0,0,360894,139874,1342,532,28,23,5,14935288,2987057.6,14248342,55055,110,0,-0.866025404,-0.5,中華民國,110
13,0,0,139874,55055,532,202,23,12,5,14935288,2987057.6,14248342,117620,110,0,-0.866025404,-0.5,中華民國,110
14,0,0,55055,117620,202,414,12,7,5,14935288,2987057.6,14248342,24065,110,0,-0.866025404,-0.5,中華民國,110
15,0,0,117620,24065,414,94,7,4,5,14935288,2987057.6,14248342,226768,110,0,-0.866025404,-0.5,中華民國,110
16,0,0,24065,226768,94,853,4,38,5,14935288,2987057.6,14248342,230241,110,0,-0.866025404,-0.5,中華民國,110
17,0,0,226768,230241,853,880,38,38,5,14935288,2987057.6,14248342,396195,110,0,-0.866025404,-0.5,中華民國,110
18,0,0,230241,396195,880,1359,38,38,5,14935288,2987057.6,14248342,58436,110,0,-0.866025404,-0.5,中華民國,110
19,0,0,396195,58436,1359,227,38,14,5,14935288,2987057.6,14248342,18533,110,0,-0.866025404,-0.5,中華民國,110
20,0,0,58436,18533,227,74,14,7,5,14935288,2987057.6,14248342,25740,110,0,-0.866025404,-0.5,中華民國,110
21,0,1,18533,25740,74,111,7,2,5,14935288,2987057.6,14248342,4600,110,0,-0.866025404,-0.5,中華民國,110
22,1,0,25740,4600,111,20,2,1,5,14935288,2987057.6,14248342,10920,110,0,-0.866025404,-0.5,中華民國,110
23,0,1,4600,10920,20,52,1,1,5,14935288,2987057.6,14248342,17175,110,0,-0.866025404,-0.5,中華民國,110
24,1,0,10920,17175,52,175,1,2,5,14935288,2987057.6,14248342,43200,110,0,-0.866025404,-0.5,中華民國,110
25,0,0,17175,43200,175,436,2,2,5,14935288,2987057.6,14248342,29930,110,0,-0.866025404,-0.5,中華民國,110
26,0,0,43200,29930,436,300,2,2,5,14935288,2987057.6,14248342,20360,110,0,-0.866025404,-0.5,中華民國,110
27,0,0,29930,20360,300,208,2,2,5,14935288,2987057.6,14248342,6375,110,0,-0.866025404,-0.5,中華民國,110
28,0,0,20360,6375,208,85,2,1,5,14935288,2987057.6,14248342,6225,110,0,-0.866025404,-0.5,中華民國,110
29,0,0,6375,6225,85,83,1,1,5,14935288,2987057.6,14248342,1575,110,0,-0.866025404,-0.5,中華民國,110
3,0,0,8591,23399,33,83,1,2,7,8591,1227.285714,23399,25770,93,0,0.5,0.866025404,日本,93
4,0,2,23399,25770,83,107,2,1,7,8591,1227.285714,23399,47700,93,0,0.5,0.866025404,日本,93
3,0,0,351900,243296,1524,1029,63,63,3,351900,117300,243296,28117,112,0,0.5,0.866025404,美國,112
4,0,0,243296,28117,1029,113,63,24,3,351900,117300,243296,4633,112,0,0.5,0.866025404,美國,112
5,0,0,28117,4633,113,18,24,4,3,351900,117300,243296,1465,112,0,0.5,0.866025404,美國,112
6,0,0,4633,1465,18,6,4,3,3,351900,117300,243296,630,112,0,0.5,0.866025404,美國,112
3,0,0,837651,1033328,3337,4079,61,61,3,837651,279217,1033328,514666,104,0,0.866025404,0.5,英國,104
4,0,0,1033328,514666,4079,2035,61,57,3,837651,279217,1033328,450608,104,0,0.866025404,0.5,英國,104
5,0,0,514666,450608,2035,1780,57,47,3,837651,279217,1033328,176715,104,0,0.866025404,0.5,英國,104
6,0,0,450608,176715,1780,715,47,26,3,837651,279217,1033328,90257,104,0,0.866025404,0.5,英國,104
7,0,0,176715,90257,715,343,26,14,3,837651,279217,1033328,52701,104,0,0.866025404,0.5,英國,104
8,0,0,90257,52701,343,210,14,6,3,837651,279217,1033328,21195,104,0,0.866025404,0.5,英國,104
9,0,0,52701,21195,210,83,6,4,3,837651,279217,1033328,8810,104,0,0.866025404,0.5,英國,104
10,0,0,21195,8810,83,36,4,2,3,837651,279217,1033328,1180,104,0,0.866025404,0.5,英國,104
3,0,0,418336,176461,1400,726,14,14,3,418336,139445.3333,176461,132957,102,0,-0.866025404,0.5,中華民國,102
4,0,0,176461,132957,726,546,14,14,3,418336,139445.3333,176461,7234,102,0,-0.866025404,0.5,中華民國,102
5,0,0,132957,7234,546,27,14,2,3,418336,139445.3333,176461,14290,102,0,-0.866025404,0.5,中華民國,102
3,0,0,12045535,5694457,46411,22337,90,90,7,12045535,1720790.714,5694457,2938901,108,0,0.866025404,-0.5,美國,108
4,0,0,5694457,2938901,22337,11470,90,90,7,12045535,1720790.714,5694457,1166931,108,0,0.866025404,-0.5,美國,108
5,0,0,2938901,1166931,11470,4519,90,84,7,12045535,1720790.714,5694457,503971,108,0,0.866025404,-0.5,美國,108
6,0,0,1166931,503971,4519,1953,84,63,7,12045535,1720790.714,5694457,120916,108,0,0.866025404,-0.5,美國,108
7,0,0,503971,120916,1953,460,63,26,7,12045535,1720790.714,5694457,71154,108,0,0.866025404,-0.5,美國,108
8,0,0,120916,71154,460,266,26,10,7,12045535,1720790.714,5694457,23255,108,0,0.866025404,-0.5,美國,108
9,0,0,71154,23255,266,87,10,4,7,12045535,1720790.714,5694457,5810,108,0,0.866025404,-0.5,美國,108
10,0,0,23255,5810,87,24,4,3,7,12045535,1720790.714,5694457,2820,108,0,0.866025404,-0.5,美國,108
3,0,0,16706756,38988567,61983,142420,92,94,3,16706756,5568918.667,38988567,39730790,118,0,-1,-1.84E-16,中華民國,118
4,0,0,38988567,39730790,142420,142615,94,94,3,16706756,5568918.667,38988567,33503815,118,0,-1,-1.84E-16,中華民國,118
5,0,0,39730790,33503815,142615,119823,94,94,3,16706756,5568918.667,38988567,25497646,118,0,-1,-1.84E-16,中華民國,118
6,0,0,33503815,25497646,119823,91670,94,94,3,16706756,5568918.667,38988567,20323715,118,0,-1,-1.84E-16,中華民國,118
7,0,0,25497646,20323715,91670,72716,94,93,3,16706756,5568918.667,38988567,10663191,118,0,-1,-1.84E-16,中華民國,118
8,0,0,20323715,10663191,72716,38217,93,91,3,16706756,5568918.667,38988567,9314047,118,0,-1,-1.84E-16,中華民國,118
9,0,0,10663191,9314047,38217,33377,91,91,3,16706756,5568918.667,38988567,4422028,118,0,-1,-1.84E-16,中華民國,118
3,0,0,1575798,2059465,5401,7154,41,41,4,1575798,393949.5,2059465,1141620,214,0,0.866025404,0.5,美國,214
4,0,0,2059465,1141620,7154,3944,41,41,4,1575798,393949.5,2059465,692234,214,0,0.866025404,0.5,美國,214
5,0,0,1141620,692234,3944,2444,41,30,4,1575798,393949.5,2059465,332841,214,0,0.866025404,0.5,美國,214
6,0,0,692234,332841,2444,1171,30,25,4,1575798,393949.5,2059465,215172,214,0,0.866025404,0.5,美國,214
7,0,0,332841,215172,1171,765,25,13,4,1575798,393949.5,2059465,101504,214,0,0.866025404,0.5,美國,214
8,0,0,215172,101504,765,362,13,8,4,1575798,393949.5,2059465,70840,214,0,0.866025404,0.5,美國,214
9,0,0,101504,70840,362,254,8,6,4,1575798,393949.5,2059465,57970,214,0,0.866025404,0.5,美國,214
10,0,0,70840,57970,254,210,6,5,4,1575798,393949.5,2059465,35460,214,0,0.866025404,0.5,美國,214
11,0,0,57970,35460,210,136,5,5,4,1575798,393949.5,2059465,36210,214,0,0.866025404,0.5,美國,214
12,0,0,35460,36210,136,140,5,2,4,1575798,393949.5,2059465,10710,214,0,0.866025404,0.5,美國,214
