gov_id,title_zh,release_round,release_start,release_end,release_days,total_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,is_re_release,release_initial_date,update_at
13460,仲夏魘,58,2023-12-25,2024-01-21,28,4,0.0,0.0,0.0,0.0,0.0,2023-12-25~2023-12-31,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,59,2024-01-22,2024-02-18,28,4,0.0,0.0,0.0,0.0,0.0,2024-01-22~2024-01-28,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,60,2024-02-19,2024-03-17,28,4,0.0,0.0,0.0,0.0,0.0,2024-02-19~2024-02-25,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,61,2024-03-18,2024-04-14,28,4,0.0,0.0,0.0,0.0,0.0,2024-03-18~2024-03-24,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,62,2024-04-15,2024-05-12,28,4,0.0,0.0,0.0,0.0,0.0,2024-04-15~2024-04-21,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,63,2024-05-13,2024-06-09,28,4,0.0,0.0,0.0,0.0,0.0,2024-05-13~2024-05-19,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,64,2024-06-10,2024-07-07,28,4,0.0,0.0,0.0,0.0,0.0,2024-06-10~2024-06-16,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,65,2024-07-08,2024-08-04,28,4,0.0,0.0,0.0,0.0,0.0,2024-07-08~2024-07-14,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,66,2024-08-05,2024-09-01,28,4,0.0,0.0,0.0,0.0,0.0,2024-08-05~2024-08-11,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,67,2024-09-02,2024-09-29,28,4,0.0,0.0,0.0,0.0,0.0,2024-09-02~2024-09-08,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,68,2024-09-30,2024-10-27,28,4,0.0,0.0,0.0,0.0,0.0,2024-09-30~2024-10-06,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,69,2024-10-28,2024-11-24,28,4,0.0,0.0,0.0,0.0,0.0,2024-10-28~2024-11-03,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,70,2024-11-25,2024-12-22,28,4,0.0,0.0,0.0,0.0,0.0,2024-11-25~2024-12-01,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,71,2024-12-23,2025-01-19,28,4,0.0,0.0,0.0,0.0,0.0,2024-12-23~2024-12-29,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,72,2025-01-20,2025-02-16,28,4,0.0,0.0,0.0,0.0,0.0,2025-01-20~2025-01-26,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,73,2025-02-17,2025-03-16,28,4,0.0,0.0,0.0,0.0,0.0,2025-02-17~2025-02-23,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,74,2025-03-17,2025-04-13,28,4,0.0,0.0,0.0,0.0,0.0,2025-03-17~2025-03-23,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,75,2025-04-14,2025-05-11,28,4,0.0,0.0,0.0,0.0,0.0,2025-04-14~2025-04-20,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,76,2025-05-12,2025-06-08,28,4,0.0,0.0,0.0,0.0,0.0,2025-05-12~2025-05-18,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,77,2025-06-09,2025-07-06,28,4,0.0,0.0,0.0,0.0,0.0,2025-06-09~2025-06-15,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
13460,仲夏魘,78,2025-07-07,2025-08-03,28,4,0.0,0.0,0.0,0.0,0.0,2025-07-07~2025-07-13,0,0.0,,0.0,0.0,False,下檔,True,2019-07-08,2025-10-28 18:37:33
