gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
25045,鬼手鬼手 請開口,1,FALSE,2023/8/11,2023/8/7,2023/10/1,56,8,8,7122368,28354,890296,3544.25,2998804,2023-08-14~2023-08-20,74,34.12,-0.512,,-0.475,-0.755,FALSE,下檔,2023/8/7,2025/10/31 03:06,-0.849,9.02,6,2,衰退,需行動,251.19
25045,鬼手鬼手 請開口,2,TRUE,2023/8/11,2023/11/6,2023/12/3,28,4,4,24655,315,6163.75,78.75,10785,2023-11-13~2023-11-19,2,1.75,3.002,,0.524,-0.708,FALSE,下檔,2023/8/7,2025/10/31 03:06,-0.766,6.58,2,2,衰退,注意,78.27
25045,鬼手鬼手 請開口,3,TRUE,2023/8/11,2025/7/7,2025/7/27,21,3,3,10255,44,3418.33,14.67,5305,2025-07-14~2025-07-20,1,1,0.511,,-0.072,-0.729,FALSE,下檔,2023/8/7,2025/10/31 03:06,-0.59,0,1,2,衰退,正常,233.07
25045,鬼手鬼手 請開口,4,TRUE,2023/8/11,2025/9/15,2025/10/12,28,4,3,44381,158,14793.67,52.67,16671,2025-09-15~2025-09-21,1,1,-0.136,,-0.025,-0.076,FALSE,下檔,2023/8/7,2025/10/31 03:06,-0.202,0,2,3,衰退,正常,280.89
26305,夢行者保羅,1,FALSE,2023/12/4,2023/12/4,2024/1/21,49,7,7,2743366,11223,391909.43,1603.29,1197989,2023-12-11~2023-12-17,67,32.29,0.075,,-0.446,-0.621,FALSE,下檔,2023/12/4,2025/10/31 03:06,-0.84,8.83,5,2,衰退,需行動,244.44
26305,夢行者保羅,2,TRUE,2023/12/4,2025/9/15,2025/10/19,35,5,3,41074,153,13691.33,51,18000,2025-09-29~2025-10-05,1,1,0.766,,0,0,FALSE,上映中,2023/12/4,2025/10/31 03:06,0.264,0,1,3,成長中,正常,268.46
gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,momentum_3w,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
26439,鬼才之道,1,FALSE,2024/8/7,2024/8/5,2025/3/9,217,31,29,61115916,234016,2107445.38,8069.52,14935288,2024-08-05~2024-08-11,99,34.17,-0.319,,0.174,-0.747,TRUE,下檔,2024/8/5,2025/10/31 03:06,-0.753,8.57,5,4,衰退,需行動,261.16
26439,鬼才之道,1,FALSE,2024/8/7,2024/8/5,2025/3/9,217,31,29,61115916,234016,2107445.38,8069.52,14935288,2024-08-05~2024-08-11,99,34.17,-0.319,-0.264,0.174,-0.747,TRUE,下檔,2024/8/5,2025/11/3 01:45,-0.753,8.57,5,4,衰退,需行動,261.16
26514,紅豬,1,FALSE,2024/1/1,2024/10/14,2024/11/3,21,3,3,57760,223,19253.33,74.33,25770,2024-10-28~2024-11-03,2,1.33,1.724,,0.608,0.101,FALSE,下檔,2024/10/14,2025/10/31 03:06,2,0,0,2,成長中,正常,259.01
26514,紅豬,2,TRUE,2024/1/1,2025/9/1,2025/10/19,49,7,7,11458379,42785,1636911.29,6112.14,6081169,2025-09-01~2025-09-07,88,55.57,-0.427,,-0.575,-0.882,FALSE,上映中,2024/10/14,2025/10/31 03:06,-0.962,9.81,6,2,衰退,需行動,267.81
26625,貓王與我,1,FALSE,2024/1/26,2024/1/22,2024/3/3,42,6,6,630041,2693,105006.83,448.83,351900,2024-01-22~2024-01-28,63,26.5,-0.704,,-0.547,-0.57,FALSE,下檔,2024/1/22,2025/10/31 03:06,-0.864,9.45,5,2,衰退,需行動,233.96
26625,貓王與我,2,TRUE,2024/1/26,2025/9/22,2025/10/12,21,3,2,25650,92,12825,46,15510,2025-09-22~2025-09-28,1,1,-0.346,,0,0,FALSE,下檔,2024/1/22,2025/10/31 03:06,0,0,1,2,穩定,正常,278.8
26779,夢想集中營,1,FALSE,2024/2/23,2024/2/19,2024/4/28,70,10,10,3187111,12622,318711.1,1262.2,1033328,2024-02-26~2024-03-03,61,27.9,-0.471,,-0.395,-0.866,FALSE,下檔,2024/2/19,2025/10/31 03:06,-0.944,9.57,8,2,衰退,需行動,252.5
26779,夢想集中營,2,TRUE,2024/2/23,2025/9/22,2025/10/12,21,3,2,115875,414,57937.5,207,76975,2025-09-22~2025-09-28,1,1,-0.495,,0,0,FALSE,下檔,2024/2/19,2025/10/31 03:06,0,0,1,2,穩定,正常,279.89
27106,河鰻,1,FALSE,2025/10/3,2025/9/29,2025/10/26,28,4,4,734988,2699,183747,674.75,418336,2025-09-29~2025-10-05,14,11,-0.819,,0.213,-0.946,FALSE,上映中,2025/9/29,2025/10/31 03:06,-0.959,9.7,3,1,衰退,需行動,272.32
27343,帝國浩劫：美國內戰,1,FALSE,2024/4/29,2024/4/29,2024/7/7,70,10,10,22573750,87538,2257375,8753.8,12045535,2024-04-29~2024-05-05,90,46.1,-0.527,,-0.529,-0.515,FALSE,下檔,2024/4/29,2025/10/31 03:06,-0.879,9.16,9,1,衰退,需行動,257.87
27343,帝國浩劫：美國內戰,2,TRUE,2024/4/29,2025/9/15,2025/10/19,35,5,3,38762,139,12920.67,46.33,13620,2025-10-13~2025-10-19,1,1,0.181,,0,0,FALSE,上映中,2024/4/29,2025/10/31 03:06,0.182,0,0,3,穩定,正常,278.86
27899,96分鐘,1,FALSE,2025/9/5,2025/9/1,2025/10/26,56,8,8,194728527,702821,24341065.88,87852.62,39730790,2025-09-15~2025-09-21,94,92.88,0,,2.429,-0.127,FALSE,上映中,2025/9/1,2025/10/31 03:06,-0.542,5.05,5,5,衰退,注意,277.07
29081,粗獷派建築師,1,FALSE,2025/2/27,2025/2/24,2025/6/1,98,14,13,6340754,22070,487750.31,1697.69,2059465,2025-03-03~2025-03-09,41,16.85,-0.253,,-0.268,0,TRUE,下檔,2025/2/24,2025/10/31 03:06,-0.698,6.02,0,3,衰退,注意,287.3
29081,粗獷派建築師,2,TRUE,2025/2/27,2025/9/29,2025/10/19,21,3,3,110178,366,36726,122,46838,2025-10-13~2025-10-19,1,1,0.053,,0.165,0.442,FALSE,上映中,2025/2/24,2025/10/31 03:06,0.518,0,0,3,成長中,正常,301.03
