gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,second_week_amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,momentum_score,promotion_urgency_score,early_decline_weeks,long_tail_weeks,momentum_status,promotion_level,avg_ticket_price
29081,粗獷派建築師,1,False,2025-02-27,2025-02-24,2025-06-01,98,14,13,6340754.0,22070.0,487750.31,1697.69,2059465.0,2025-03-03~2025-03-09,41,16.85,-0.253,-0.268,0.0,True,下檔,2025-02-24,2025-10-31 03:06:37,-0.698,6.02,0,3,衰退,注意,287.3
29081,粗獷派建築師,2,True,2025-02-27,2025-09-29,2025-10-19,21,3,3,110178.0,366.0,36726.0,122.0,46838.0,2025-10-13~2025-10-19,1,1.0,0.053,0.165,0.442,False,上映中,2025-02-24,2025-10-31 03:06:37,0.518,0.0,0,3,成長中,正常,301.03
29111,台灣超人,1,False,2024-12-06,2024-12-02,2025-07-27,238,34,33,27387382.0,114694.0,829920.67,3475.58,2680018.0,2025-01-13~2025-01-19,71,22.03,-0.571,2.489,0.066,True,下檔,2024-12-02,2025-10-31 03:06:37,-0.808,8.61,0,7,衰退,需行動,238.79
29111,台灣超人,2,True,2024-12-06,2025-08-11,2025-09-28,49,7,6,370440.0,1628.0,61740.0,271.33,93080.0,2025-08-18~2025-08-24,5,2.33,0.477,0.518,-0.219,False,下檔,2024-12-02,2025-10-31 03:06:37,2.027,1.49,1,5,成長中,正常,227.54
29378,我家的事,1,False,2025-09-12,2025-09-08,2025-10-26,49,7,7,9901112.0,38217.0,1414444.57,5459.57,3264678.0,2025-09-15~2025-09-21,66,48.71,-0.471,1.888,-0.694,False,上映中,2025-09-08,2025-10-31 03:06:37,-0.856,8.49,5,2,衰退,需行動,259.08
29380,失明,1,False,2025-09-19,2025-09-15,2025-10-26,42,6,6,2418229.0,9387.0,403038.17,1564.5,1220588.0,2025-09-15~2025-09-21,71,36.0,-0.72,-0.007,-0.838,False,上映中,2025-09-15,2025-10-31 03:06:37,-0.971,9.87,5,2,衰退,需行動,257.61
29513,異教詭屋,1,False,2024-11-29,2024-11-25,2025-01-19,56,8,8,3976777.0,15737.0,497097.12,1967.12,1639381.0,2024-12-02~2024-12-08,78,35.88,-0.54,-0.5,-0.78,False,下檔,2024-11-25,2025-10-31 03:06:37,-0.945,9.47,6,2,衰退,需行動,252.7
29513,異教詭屋,2,True,2024-11-29,2025-09-15,2025-10-19,35,5,3,45506.0,160.0,15168.67,53.33,16960.0,2025-10-13~2025-10-19,1,1.0,-0.061,0.0,0.0,False,上映中,2024-11-25,2025-10-31 03:06:37,0.152,0.0,0,3,穩定,正常,284.41
29611,交換禮物,1,False,2024-12-25,2024-12-23,2025-10-26,308,44,40,8472157.0,34406.0,211803.92,860.15,1470683.0,2024-12-30~2025-01-05,55,9.62,-0.153,0.161,0.0,True,上映中,2024-12-23,2025-10-31 03:06:37,1.531,0.0,1,3,成長中,正常,246.24
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,1,False,2025-01-03,2024-12-30,2025-05-18,140,20,20,144173767.0,475021.0,7208688.35,23751.05,23638904.0,2025-01-06~2025-01-12,86,50.6,-0.537,8.078,-0.701,True,下檔,2024-12-30,2025-10-31 03:06:37,-0.594,7.24,1,4,衰退,需行動,303.51
