gov_id,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at
29882,進行曲,1,False,2025-07-07,2025-10-26,112,16,16,12029897.0,47823.0,751868.56,2988.94,2629324.0,2025-08-25~2025-08-31,81,26.06,0.084,0.318,-0.322,True,下檔,2025-07-07,2025-10-29 11:24:08
30021,辛辛監獄劇團,1,False,2025-02-17,2025-03-16,28,4,4,293131.0,1241.0,73282.75,310.25,134599.0,2025-02-17~2025-02-23,13,9.0,-0.165,-0.332,-0.424,False,下檔,2025-02-17,2025-10-29 11:24:08
30021,辛辛監獄劇團,2,True,2025-09-15,2025-10-19,35,5,3,62087.0,230.0,20695.67,76.67,27960.0,2025-09-15~2025-09-21,1,1.0,-0.423,0.0,0.0,False,下檔,2025-02-17,2025-10-29 11:24:08
30062,鬼吹簫,1,False,2025-10-06,2025-10-26,21,3,3,399685.0,1579.0,133228.33,526.33,263012.0,2025-10-06~2025-10-12,52,36.67,-0.513,-0.482,-0.932,False,下檔,2025-10-06,2025-10-29 11:24:08
30155,QUEER,1,False,2025-03-10,2025-05-11,63,9,9,1932823.0,7519.0,214758.11,835.44,715372.0,2025-03-24~2025-03-30,28,11.67,3.438,0.11,-0.086,False,下檔,2025-03-10,2025-10-29 11:24:08
30366,取精急轉彎,1,False,2025-04-21,2025-06-22,63,9,9,14073573.0,51991.0,1563730.33,5776.78,6642009.0,2025-04-21~2025-04-27,53,28.33,-0.32,-0.58,-0.76,False,下檔,2025-04-21,2025-10-29 11:24:08
30436,泣聲驚魂,1,False,2025-05-05,2025-05-25,21,3,3,80162.0,315.0,26720.67,105.0,47101.0,2025-05-05~2025-05-11,15,11.0,-0.321,-0.429,-0.966,False,下檔,2025-05-05,2025-10-29 11:24:08
30497,沈睡的水下巨人,1,False,2025-04-14,2025-07-06,84,12,12,2740698.0,11035.0,228391.5,919.58,1034306.0,2025-04-28~2025-05-04,30,11.33,15.04,4.902,-0.416,True,下檔,2025-04-14,2025-10-29 11:24:08
30530,守護我們的星球,1,False,2025-04-28,2025-10-26,182,26,25,8424683.0,33868.0,336987.32,1354.72,923159.0,2025-05-19~2025-05-25,41,11.48,1.867,0.992,-0.831,True,下檔,2025-04-28,2025-10-29 11:24:08
30560,長椅小情歌,1,False,2025-07-14,2025-10-26,105,15,15,2165856.0,8678.0,144390.4,578.53,504818.0,2025-07-21~2025-07-27,23,7.07,0.215,-0.163,-0.514,True,下檔,2025-07-14,2025-10-29 11:24:08
