week_range,amount,tickets,total_amount,total_tickets,rate,theater_count,fetch_date
2024-06-17~2024-06-23,,,3332467.0,13867,0.0,0,2025-10-12
2024-06-24~2024-06-30,,,3332467.0,13867,0.0,0,2025-10-12
2024-07-01~2024-07-07,,,3332467.0,13867,0.0,0,2025-10-12
2024-07-08~2024-07-14,,,3332467.0,13867,0.0,0,2025-10-12
2024-07-15~2024-07-21,,,3332467.0,13867,0.0,0,2025-10-12
2024-07-22~2024-07-28,,,3332467.0,13867,0.0,0,2025-10-12
2024-07-29~2024-08-04,,,3332467.0,13867,0.0,0,2025-10-12
2024-08-05~2024-08-11,,,3332467.0,13867,0.0,0,2025-10-12
2024-08-12~2024-08-18,,,3332467.0,13867,0.0,0,2025-10-12
2024-08-19~2024-08-25,,,3332467.0,13867,0.0,0,2025-10-12
2024-08-26~2024-09-01,,,3332467.0,13867,0.0,0,2025-10-12
2024-09-02~2024-09-08,,,3332467.0,13867,0.0,0,2025-10-12
2024-09-09~2024-09-15,,,3332467.0,13867,0.0,0,2025-10-12
2024-09-16~2024-09-22,,,3332467.0,13867,0.0,0,2025-10-12
2024-09-23~2024-09-29,,,3332467.0,13867,0.0,0,2025-10-12
2024-09-30~2024-10-06,,,3332467.0,13867,0.0,0,2025-10-12
2024-10-07~2024-10-13,,,3332467.0,13867,0.0,0,2025-10-12
2024-10-14~2024-10-20,,,3332467.0,13867,0.0,0,2025-10-12
2024-10-21~2024-10-27,,,3332467.0,13867,0.0,0,2025-10-12
2024-10-28~2024-11-03,,,3332467.0,13867,0.0,0,2025-10-12
2024-11-04~2024-11-10,,,3332467.0,13867,0.0,0,2025-10-12
2024-11-11~2024-11-17,,,3332467.0,13867,0.0,0,2025-10-12
2024-11-18~2024-11-24,,,3332467.0,13867,0.0,0,2025-10-12
2024-11-25~2024-12-01,,,3332467.0,13867,0.0,0,2025-10-12
2024-12-02~2024-12-08,,,3332467.0,13867,0.0,0,2025-10-12
2024-12-09~2024-12-15,,,3332467.0,13867,0.0,0,2025-10-12
2024-12-16~2024-12-22,,,3332467.0,13867,0.0,0,2025-10-12
2024-12-23~2024-12-29,,,3332467.0,13867,0.0,0,2025-10-12
2024-12-30~2025-01-05,,,3332467.0,13867,0.0,0,2025-10-12
2025-01-06~2025-01-12,,,3332467.0,13867,0.0,0,2025-10-12
2025-01-13~2025-01-19,,,3332467.0,13867,0.0,0,2025-10-12
2025-01-20~2025-01-26,0.0,0.0,3332467.0,13867,0.0,1,2025-10-12
2025-01-27~2025-02-02,0.0,0.0,3332467.0,13867,0.0,1,2025-10-12
2025-02-03~2025-02-09,1080.0,4.0,3333547.0,13871,0.0,1,2025-10-12
2025-02-10~2025-02-16,740.0,3.0,3334287.0,13874,-0.3148148148148148,2,2025-10-12
2025-02-17~2025-02-23,,,3334287.0,13874,-1.0,0,2025-10-12
2025-02-24~2025-03-02,,,3334287.0,13874,0.0,0,2025-10-12
2025-03-03~2025-03-09,,,3334287.0,13874,0.0,0,2025-10-12
2025-03-10~2025-03-16,0.0,0.0,3334287.0,13874,0.0,1,2025-10-12
2025-03-17~2025-03-23,,,3334287.0,13874,0.0,0,2025-10-12
2025-03-24~2025-03-30,,,3334287.0,13874,0.0,0,2025-10-12
2025-03-31~2025-04-06,,,3334287.0,13874,0.0,0,2025-10-12
2025-04-07~2025-04-13,,,3334287.0,13874,0.0,0,2025-10-12
2025-04-14~2025-04-20,,,3334287.0,13874,0.0,0,2025-10-12
2025-04-21~2025-04-27,,,3334287.0,13874,0.0,0,2025-10-12
2025-04-28~2025-05-04,,,3334287.0,13874,0.0,0,2025-10-12
2025-05-05~2025-05-11,,,3334287.0,13874,0.0,0,2025-10-12
2025-05-12~2025-05-18,,,3334287.0,13874,0.0,0,2025-10-12
2025-05-19~2025-05-25,,,3334287.0,13874,0.0,0,2025-10-12
2025-05-26~2025-06-01,,,3334287.0,13874,0.0,0,2025-10-12
2025-06-02~2025-06-08,,,3334287.0,13874,0.0,0,2025-10-12
2025-06-09~2025-06-15,,,3334287.0,13874,0.0,0,2025-10-12
2025-06-16~2025-06-22,,,3334287.0,13874,0.0,0,2025-10-12
2025-06-23~2025-06-29,,,3334287.0,13874,0.0,0,2025-10-12
2025-06-30~2025-07-06,,,3334287.0,13874,0.0,0,2025-10-12
2025-07-07~2025-07-13,,,3334287.0,13874,0.0,0,2025-10-12
2025-07-14~2025-07-20,,,3334287.0,13874,0.0,0,2025-10-12
2025-07-21~2025-07-27,,,3334287.0,13874,0.0,0,2025-10-12
2025-07-28~2025-08-03,,,3334287.0,13874,0.0,0,2025-10-12
2025-08-04~2025-08-10,,,3334287.0,13874,0.0,0,2025-10-12
2025-08-11~2025-08-17,,,3334287.0,13874,0.0,0,2025-10-12
2025-08-18~2025-08-24,,,3334287.0,13874,0.0,0,2025-10-12
2025-08-25~2025-08-31,,,3334287.0,13874,0.0,0,2025-10-12
2025-09-01~2025-09-07,,,3334287.0,13874,0.0,0,2025-10-12
2025-09-08~2025-09-14,,,3334287.0,13874,0.0,0,2025-10-12
2025-09-15~2025-09-21,18830.0,68.0,3353117.0,13942,0.0,1,2025-10-12
2025-09-22~2025-09-28,,,3353117.0,13942,-1.0,0,2025-10-12
2025-09-29~2025-10-05,11387.0,41.0,3364504.0,13983,0.0,1,2025-10-12
