gov_id,gov_title_zh,gov_title_en,region,rating_class,publisher,film_length,release_round,release_start,release_end,release_days,total_weeks,total_amount,total_tickets,peak_amount,is_long_tail,status,update_at
31745,血怨,PEREWANGAN,印尼,輔15級,車庫娛樂股份有限公司,,1.0,2025-09-29,2025-10-26,28.0,4.0,648728.0,2434.0,537443.0,False,上映中,2025-10-29 14:04:00
31746,希瑪之歌,Sima's Song,阿富汗,保護級,飛望影像有限公司,,,,,,,,,,,,
31748,卡夫卡最後的愛,The Glory of Life,德國,保護級,海鵬影業有限公司,,,,,,,,,,,,
31760,鬼巫,WITCHBOARD,美國,輔15級,車庫娛樂股份有限公司,,1.0,2025-09-15,2025-10-12,28.0,4.0,515150.0,2102.0,475081.0,False,下檔,2025-10-29 14:04:00
31762,約見波布,Meeting with Pol Pot,法國,輔12級,海鵬影業有限公司,,,,,,,,,,,,
31767,醜得要命,THE UGLY,韓國,輔12級,壹壹喜喜電影股份有限公司,,1.0,2025-09-22,2025-10-26,35.0,5.0,440671.0,1844.0,213938.0,False,上映中,2025-10-29 14:04:00
31769,大競走,THE LONG WALK,美國,輔15級,車庫娛樂股份有限公司,,1.0,2025-09-15,2025-10-19,35.0,5.0,3016842.0,12531.0,1901362.0,False,上映中,2025-10-29 14:04:00
31776,搗破法蘭克,Smashing Frank,香港,輔15級,華映國際文創股份有限公司,,,,,,,,,,,,
31777,奇幻導航,A BIG BOLD BEAUTIFUL JOURNEY,美國,保護級,美商台灣索尼影業發行股份有限公司台灣分公司,,,,,,,,,,,,
31794,劇場版『鏈鋸人 蕾潔篇』,Chainsaw Man – The Movie: Reze Arc,日本,輔15級,美商台灣索尼影業發行股份有限公司台灣分公司,,1.0,2025-09-22,2025-10-26,35.0,5.0,186464943.0,603328.0,49455153.0,False,上映中,2025-10-29 14:04:00
31796,傲嬌公主的奇幻冒險,The Proud Princess,捷克,普遍級,希望影視行銷股份有限公司,,1.0,2025-09-22,2025-10-26,35.0,5.0,768719.0,3150.0,375702.0,False,上映中,2025-10-29 14:04:00
31797,一戰再戰,One Battle After Another,美國,輔15級,美商華納兄弟（遠東）股份有限公司台灣分公司,,1.0,2025-09-29,2025-10-26,28.0,4.0,18162099.0,59767.0,9236937.0,False,上映中,2025-10-29 14:04:00
31799,電影版 神奇柑仔店 錢天堂,The Supernatural Sweet Shop The Movie,日本,普遍級,車庫娛樂股份有限公司,,1.0,2025-09-29,2025-10-26,28.0,4.0,1985705.0,7666.0,1347080.0,False,上映中,2025-10-29 14:04:00
31801,鬼祭,Pabrik Gula,印尼,輔15級,采昌國際多媒體股份有限公司,,1.0,2025-09-22,2025-10-19,28.0,4.0,410661.0,1572.0,338678.0,False,上映中,2025-10-29 14:04:00
31805,阿蒙怎麼了？,Armand,挪威,輔12級,好威映象有限公司,,,,,,,,,,,,
31807,泥娃娃,Mudborn,中華民國,輔15級,威視股份有限公司,,,,,,,,,,,,
31808,夢想巨無霸,Jumbo,印尼,普遍級,采昌國際多媒體股份有限公司,,,,,,,,,,,,
31809,疾速營救,Stolen Girl,美國,輔12級,英屬維京群島商高捷全球開發有限公司 台灣分公司,,1.0,2025-09-29,2025-10-26,28.0,4.0,611506.0,2524.0,535405.0,False,上映中,2025-10-29 14:04:00
31810,十年,TEN YEARS,香港,輔12級,佳映娛樂國際股份有限公司,,,,,,,,,,,,
31835,沒好婚姻,The Roses,美國,輔15級,台灣華特迪士尼股份有限公司,,1.0,2025-09-29,2025-10-26,28.0,4.0,2019810.0,7529.0,1215205.0,False,上映中,2025-10-29 14:04:00
31836,8號出口,Exit 8,日本,保護級,壹壹喜喜電影股份有限公司,,1.0,2025-09-22,2025-10-26,35.0,5.0,7420179.0,26036.0,3585178.0,False,上映中,2025-10-29 14:04:00
31842,蓋比的娃娃屋大電影,GABBY'S DOLLHOUSE: THE MOVIE,美國,普遍級,美商美國環球影片股份有限公司台灣分公司,,,,,,,,,,,,
31863,他年她日,MEASURE IN LOVE,香港,保護級,香港商甲上娛樂有限公司台灣分公司,,1.0,2025-09-29,2025-10-26,28.0,4.0,10431380.0,38543.0,5279145.0,False,上映中,2025-10-29 14:04:00
31900,一百公尺。,100 METERS,日本,普遍級,車庫娛樂股份有限公司,,,,,,,,,,,,
31904,陰陽眼見子,THE GIRL WHO SEES,日本,保護級,天馬行空數位有限公司,,,,,,,,,,,,
31988,銀簪子,Grandma's Hairpin,中華民國,普遍級,牽猴子股份有限公司,,,,,,,,,,,,
32086,有用的鬼,A Useful Ghost,泰國,限制級,傳影互動股份有限公司,,,,,,,,,,,,
32087,碰碰狐和貝貝彬歡唱電影：奇幻世界大冒險(國語版),Bebefinn Sing-Along Movie: Into the Pinkfong World,韓國,普遍級,香港商甲上娛樂有限公司台灣分公司,,,,,,,,,,,,
32098,藤本樹17-26：PART 1,Tatsuki Fujimoto 17‐21,日本,輔12級,采昌國際多媒體股份有限公司,,,,,,,,,,,,
32099,創：戰神,Tron: Ares,美國,保護級,台灣華特迪士尼股份有限公司,,,,,,,,,,,,
32103,狼來了,COYOTES,美國,輔15級,車庫娛樂股份有限公司,,,,,,,,,,,,
32111,徵人啟弒,NO Other Choice,韓國,輔15級,英屬維京群島商高捷全球開發有限公司 台灣分公司,,,,,,,,,,,,
32112,風林火山,Sons of the Neon Night,香港,限制級,壹壹喜喜電影股份有限公司,,,,,,,,,,,,
32114,藤本樹17-26：PART 2,Tatsuki Fujimoto 22-26,日本,輔12級,采昌國際多媒體股份有限公司,,,,,,,,,,,,
32116,銀魂劇場版 2D 真選組動亂篇,GINTAMA ON THEATER 2D Shinsen-Gumi Doukan Arc,日本,保護級,薩摩亞商羚邦(亞洲)有限公司台灣分公司,,,,,,,,,,,,
8873,橫山家之味,STILL WALKING,日本,普遍級,傳影互動股份有限公司,,,,,,,,,,,,
8878,無人知曉的夏日清晨,NOBODY KNOWS,日本,輔12級,傳影互動股份有限公司,,,,,,,,,,,,
9161,宿怨,HEREDITARY,美國,輔15級,傳影互動股份有限公司,,2.0,2025-09-15,2025-10-12,28.0,4.0,846855.0,2935.0,443232.0,False,下檔,2025-10-29 14:04:00
