gov_id,region,rating_class,film_length,release_round,is_re_release,release_days,total_weeks,avg_amount_per_week,peak_amount,amount_growth_rate,decline_rate_mean,previous_round_count,previous_total_amount,total_amount
31520,日本,輔12級,0.0,1.0,False,56.0,8.0,600632.0,1463221.0,8.066,1.333,0.0,0.0,4805056.0
31523,英國,普遍級,0.0,1.0,False,42.0,6.0,434177.67,1872490.0,-0.739,-0.554,0.0,0.0,2605066.0
31531,中華民國,輔12級,0.0,1.0,False,28.0,4.0,380859.75,1061895.0,-0.635,-0.406,0.0,0.0,1523439.0
31541,中國大陸,普遍級,0.0,1.0,False,42.0,6.0,330716.17,764525.0,15.509,2.156,0.0,0.0,1984297.0
31547,美國,普遍級,0.0,1.0,False,56.0,8.0,1200783.12,3796318.0,-0.024,-0.488,0.0,0.0,9606265.0
31570,香港,普遍級,0.0,1.0,False,35.0,5.0,119798.75,246675.0,-0.635,-0.247,0.0,0.0,479195.0
31596,美國,輔15級,0.0,1.0,False,49.0,7.0,5688926.71,20459408.0,-0.522,-0.481,0.0,0.0,39822487.0
31650,日本,普遍級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31651,美國,輔15級,0.0,1.0,False,28.0,4.0,351533.0,994676.0,-0.658,-0.547,0.0,0.0,1406132.0
31654,日本,保護級,0.0,1.0,False,42.0,6.0,732086.67,2179430.0,-0.477,-0.515,0.0,0.0,4392520.0
31662,泰國,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31668,中華民國,保護級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31670,馬來西亞,輔12級,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31679,韓國,普遍級,0.0,1.0,False,49.0,7.0,279696.0,1019841.0,-0.735,-0.502,0.0,0.0,1398480.0
31685,日本,保護級,0.0,1.0,False,49.0,7.0,3120154.86,9464676.0,-0.368,-0.384,0.0,0.0,21841084.0
