gov_id,title_zh,momentum_score,momentum_3w,second_week_amount_growth_rate,retention_index,decline_rate_mean,active_weeks,is_long_tail,avg_theater_count,peak_theater_count,total_weeks,total_amount,avg_amount_per_week,market_heat_level,region,movie_class
31355,電影蠟筆小新：超華麗！灼熱的春日部舞者們,-0.937,-0.537,-0.429,0.8385,-0.323,11,True,56.73,86,11,50437122.0,4585192.91,A,日本,普遍級
31364,凶器,-0.686,2.851,9.236,0.17100000000000004,1.658,11,True,35.64,82,11,25156397.0,2286945.18,A,美國,限制級
31365,劇場版「鬼滅之刃」無限城篇 第一章 猗窩座再襲,-0.755,-0.246,-0.057,0.8694999999999999,-0.261,13,True,94.46,98,13,826692109.0,63591700.69,A,日本,輔12級
31402,天作之合,-0.872,4.831,14.87,-1.275,4.55,11,True,35.36,88,11,12725063.0,1156823.91,A,美國,普遍級
31474,角頭－鬥陣欸,-0.776,-0.55,-0.54,0.7675,-0.465,11,True,64.82,96,11,188457553.0,17132504.82,A,中華民國,限制級
31502,怪奇寶貝,9.929,-0.856,-0.724,0.6915714285714285,-0.474,6,False,26.0,64,7,695393.0,115898.83,D,美國,保護級
31507,一兆$遊戲　劇場版,7.0,-0.698,-0.677,0.8300454545454545,-0.249,10,True,9.2,24,11,1590048.0,159004.8,C,日本,保護級
31520,龍之心-靈界探訪記-,-0.935,2.953,0.752,0.508,0.984,10,False,13.0,25,10,4835706.0,483570.6,B,日本,輔12級
31523,樂來越愛你,-0.812,-0.677,-0.631,0.7625,-0.475,7,False,14.14,28,7,4777799.0,682542.71,B,英國,普遍級
31531,詭鄉,-0.899,-0.732,-0.649,0.47950000000000004,1.041,5,False,39.2,60,5,2826818.0,565363.6,B,中華民國,輔12級
31541,熱烈,-0.884,4.797,-0.952,0.24,1.52,8,False,5.38,7,8,2277277.0,284659.62,C,中國大陸,普遍級
31547,辣媽辣妹2,-0.974,-0.417,-0.024,0.756,-0.488,8,False,41.88,81,8,9606265.0,1200783.12,B,美國,普遍級
31570,無名指,-0.187,-0.539,-0.748,0.9041666666666667,0.025,5,False,29.8,60,6,899357.0,179871.4,C,香港,普遍級
31596,厲陰宅：最終聖事,-0.944,-0.443,-0.323,0.7655000000000001,-0.469,9,False,63.67,92,9,61420707.0,6824523.0,A,美國,輔15級
31650,親愛的家人,-0.987,-0.84,-0.7,0.7865,-0.427,3,False,34.67,49,3,223574.0,74524.67,D,日本,普遍級
31651,永遠在一起,-0.989,-0.689,-0.57,0.7375,-0.525,6,False,31.0,61,6,2399243.0,399873.83,C,美國,輔15級
31654,電影版小林家的龍女僕：害怕寂寞的龍,-0.942,-0.4,-0.374,0.7525,-0.495,8,False,34.38,67,8,7381903.0,922737.88,B,日本,保護級
31662,淒厲人師,-0.983,-0.722,-0.667,0.7845,-0.431,4,False,9.25,17,4,181629.0,45407.25,D,泰國,輔12級
31668,突破_三千米的泳氣,-0.836,-0.557,-0.649,0.9844999999999999,0.031,5,False,43.4,58,5,5820658.0,1164131.6,B,中華民國,保護級
31670,搖籃凡世,-0.981,-0.599,-0.778,0.8125,-0.375,4,False,9.0,15,4,105506.0,26376.5,E,馬來西亞,輔12級
31679,凌晨兩點的惡魔,-0.954,-0.698,-0.67,0.749,-0.502,5,False,41.2,73,5,2713145.0,542629.0,B,韓國,普遍級
31685,劇場版 咒術迴戰 懷玉・玉折,-0.865,-0.449,-0.517,0.8055,-0.389,9,False,57.22,86,9,30261330.0,3362370.0,A,日本,保護級
31701,麵包超人電影版：小水滴的英雄！,-0.992,1.297,4.961,-0.012499999999999956,2.025,8,False,15.38,33,8,1308160.0,163520.0,C,日本,普遍級
31702,光,-0.993,-0.728,-0.549,0.802,-0.396,4,False,8.25,13,4,137277.0,34319.25,D,德國,輔15級
31704,陌路兄弟,-0.981,-0.642,-0.823,0.8225,-0.355,5,False,7.4,12,5,225901.0,45180.2,D,中華民國,保護級
31712,劇場版 歌之☆王子殿下♪ TABOO NIGHT XXXX with Double Encore (QUARTET NIGHT version),-0.864,137.552,413.23,-52.5065,107.013,9,False,8.44,16,9,2063774.0,229308.22,C,日本,普遍級
31713,捏造：史上最惡殺人教師,-0.915,-0.681,-0.681,0.8145,-0.371,6,False,13.67,28,6,688939.0,114823.17,D,日本,輔12級
31714,鋼琴之子,-0.527,-0.615,-0.425,0.8685,-0.263,6,False,6.5,15,6,170530.0,28421.67,D,西班牙,普遍級
31715,致我所愛之人,-0.556,-0.336,-0.619,0.874,-0.252,9,False,3.0,9,9,190074.0,21119.33,D,日本,普遍級
31745,血怨,-0.979,-0.77,-0.587,0.7475,-0.505,5,False,25.4,51,5,1206370.0,241274.0,C,印尼,輔15級
31746,希瑪之歌,0.0,0.0,-0.776,0.8333333333333333,0.0,2,False,1.0,1,3,20420.0,10210.0,E,阿富汗,保護級
31748,卡夫卡最後的愛,-0.917,1.171,4.529,0.7416666666666667,-0.35,5,False,7.8,14,6,190916.0,38183.2,D,德國,保護級
31760,鬼巫,-0.983,-0.825,-0.685,0.7070000000000001,-0.586,5,False,33.4,67,5,1160569.0,232113.8,C,美國,輔15級
31762,約見波布,-0.772,-0.665,-0.544,0.8795,-0.241,3,False,12.0,15,3,108045.0,36015.0,E,法國,輔12級
31767,醜得要命,-0.784,-0.432,-0.356,0.8825000000000001,-0.235,7,False,9.14,23,7,536511.0,76644.43,D,韓國,輔12級
31769,大競走,-0.997,-0.533,-0.596,0.74,-0.395,7,False,36.71,81,8,5035097.0,719299.57,B,美國,輔15級
31777,奇幻導航,-0.972,2.82,9.611,-0.556,3.112,5,False,47.0,76,5,1858006.0,371601.2,C,美國,保護級
31794,劇場版『鏈鋸人 蕾潔篇』,-0.754,51.225,153.878,-24.653,51.306,7,False,80.43,94,7,192190191.0,27455741.57,A,日本,輔15級
31796,傲嬌公主的奇幻冒險,-0.942,1.161,4.443,-0.30000000000000004,2.6,6,False,16.83,35,6,788439.0,131406.5,D,捷克,普遍級
31797,一戰再戰,-0.86,-0.492,-0.436,0.8175,-0.365,6,False,71.67,83,6,27789863.0,4631643.83,A,美國,輔15級
31799,電影版 神奇柑仔店 錢天堂,-0.981,-0.683,-0.582,0.7745,-0.451,6,False,37.83,67,6,3368668.0,561444.67,B,日本,普遍級
31801,鬼祭,-0.977,-0.814,-0.721,0.7185,-0.563,5,False,18.2,35,5,930378.0,186075.6,C,印尼,輔15級
31805,阿蒙怎麼了？,-0.992,-0.761,-0.61,0.7795,-0.441,4,False,8.0,13,4,100968.0,25242.0,E,挪威,輔12級
31807,泥娃娃,-0.84,-0.443,-0.295,-6.716,15.432,4,False,90.5,91,4,79319351.0,19829837.75,A,中華民國,輔15級
31808,夢想巨無霸,-0.975,-0.42,-0.401,0.857,-0.286,5,False,32.0,42,5,2382443.0,476488.6,C,印尼,普遍級
31809,疾速營救,-0.962,-0.81,-0.611,0.7845,-0.431,5,False,27.0,48,5,1201846.0,240369.2,C,美國,輔12級
31810,十年,0.0,0.0,-0.83,0.8333333333333333,0.0,2,False,5.5,9,3,73393.0,36696.5,E,香港,輔12級
31835,沒好婚姻,-0.903,-0.563,-0.437,0.8115,-0.377,6,False,24.83,40,6,2959413.0,493235.5,B,美國,輔15級
31836,8號出口,-0.929,-0.505,-0.608,0.7855,-0.429,7,False,37.0,57,7,11364853.0,1623550.43,B,日本,保護級
31842,蓋比的娃娃屋大電影,-0.98,-0.537,-0.34,0.831,-0.338,5,False,52.8,75,5,2413153.0,482630.6,C,美國,普遍級
31863,他年她日,-0.909,-0.535,-0.297,0.7615000000000001,-0.477,5,False,82.0,98,5,10523797.0,2104759.4,B,香港,保護級
31900,一百公尺。,-0.873,-0.257,-0.235,0.9435,-0.113,5,False,62.4,69,5,10891796.0,2178359.2,B,日本,普遍級
31904,陰陽眼見子,-0.968,-0.696,-0.46,0.7135,-0.573,5,False,10.6,20,5,292259.0,58451.8,D,日本,保護級
32087,碰碰狐和貝貝彬歡唱電影：奇幻世界大冒險(國語版),-0.948,3.88,12.308,-3.3979999999999997,8.796,5,False,37.2,48,5,8452468.0,1690493.6,B,韓國,普遍級
32098,藤本樹17-26：PART 1,-0.613,-0.283,0.074,0.9055,-0.189,3,False,20.0,20,3,4392556.0,1464185.33,B,日本,輔12級
32099,創：戰神,-0.878,-0.609,-0.605,0.7915,-0.417,4,False,93.75,95,4,37581810.0,9395452.5,A,美國,保護級
32103,狼來了,-0.995,-0.859,-0.72,0.704,-0.592,4,False,33.5,62,4,465913.0,116478.25,D,美國,輔15級
32111,徵人啟弒,-0.894,-0.649,-0.631,0.7915,-0.417,4,False,65.5,72,4,6408005.0,1602001.25,B,韓國,輔15級
32112,風林火山,-0.885,-0.637,-0.634,0.7955,-0.409,4,False,80.5,83,4,11257555.0,2814388.75,B,香港,限制級
32114,藤本樹17-26：PART 2,-0.43,-0.096,0.4,0.968,-0.064,3,False,20.0,20,3,4287813.0,1429271.0,B,日本,輔12級
32116,銀魂劇場版 2D 真選組動亂篇,-0.949,-0.738,-0.739,0.7475,-0.505,4,False,9.5,10,4,1675738.0,418934.5,C,日本,保護級
8873,橫山家之味,-0.904,-0.672,-0.65,0.8065,-0.387,4,False,1.75,2,4,226255.0,56563.75,D,日本,普遍級
8878,無人知曉的夏日清晨,-0.737,-0.649,-0.547,0.884,-0.232,3,False,2.0,2,3,335230.0,111743.33,D,日本,輔12級
9161,宿怨,-0.992,-0.51,0.284,0.8089999999999999,-0.382,4,False,15.25,22,4,846855.0,211713.75,C,美國,輔15級
