gov_id,gov_title_zh,gov_title_en,region,rating_class,official_release_date_gov,publisher,film_length,director,actor_list,source_file,title_zh,release_round,is_re_release,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
29513,異教詭屋,HERETIC,美國,輔15級,2024-11-29,車庫娛樂股份有限公司,,布萊恩伍茲; 史考特貝克,休葛蘭; 蘇菲柴契爾; 克洛伊伊絲特,29513_異教詭屋.csv,異教詭屋,2.0,True,2025-09-15,2025-10-19,35.0,5.0,3.0,45506.0,160.0,15168.67,53.33,16960.0,2025-10-13~2025-10-19,1.0,1.0,-0.061,0.0,0.0,False,上映中,2024-12-02,2025-10-29 14:04:00,1.0,2448230.0,239.0,349747.14
29611,交換禮物,DEAR  BLACK SHEEP,中華民國,普遍級,2024-12-25,台北双喜電影發行股份有限公司,,林明謙,曾寶儀,29611_交換禮物.csv,交換禮物,1.0,False,2024-12-30,2025-10-26,301.0,43.0,39.0,7232556.0,29322.0,185450.15,751.85,1470683.0,2024-12-30~2025-01-05,54.0,8.46,-0.342,0.133,0.0,True,上映中,2024-12-30,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
29653,劇場版「進擊的巨人」完結篇THE LAST ATTACK,Attack on Titan: THE LAST ATTACK,日本,輔12級,2025-01-03,木棉花國際股份有限公司,,,,29653_劇場版「進擊的巨人」完結篇THE LAST ATTACK.csv,劇場版「進擊的巨人」完結篇THE LAST ATTACK,1.0,False,2025-01-06,2025-05-18,133.0,19.0,19.0,122276604.0,396260.0,6435610.74,20855.79,23638904.0,2025-01-06~2025-01-12,86.0,49.0,-0.137,-0.114,-0.701,True,下檔,2025-01-06,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
29831,乖女孩,BABY GIRL,美國,限制級,2025-01-17,車庫娛樂股份有限公司,,哈琳娜瑞金,蘇菲魏爾德; 安東尼奧班德拉斯; 哈里斯迪金森; 妮可基嫚,29831_乖女孩.csv,乖女孩,2.0,True,2025-09-22,2025-10-19,28.0,4.0,3.0,52527.0,189.0,17509.0,63.0,20190.0,2025-10-13~2025-10-19,1.0,1.0,-0.351,-0.117,0.0,False,上映中,2025-01-20,2025-10-29 14:04:00,1.0,3760634.0,190.0,470079.25
29882,進行曲,Marching Boys,中華民國,普遍級,2025-08-29,華映國際文創股份有限公司,,姜瑞智,余杰恩; 劉育仁; 黃迪揚; 馬志翔; 李李仁; 牧森,29882_進行曲.csv,進行曲,1.0,False,2025-09-01,2025-10-26,56.0,8.0,8.0,7229873.0,28416.0,903734.12,3552.0,2440679.0,2025-09-01~2025-09-07,81.0,36.0,-0.162,-0.216,-0.322,False,上映中,2025-09-01,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30021,辛辛監獄劇團,Sing Sing,美國,保護級,2025-02-21,薩摩亞商雄讚股份有限公司台灣分公司,,格雷格克韋達,克拉倫斯麥克林; 科爾曼多明哥; 西恩聖荷西,30021_辛辛監獄劇團.csv,辛辛監獄劇團,1.0,False,2025-09-15,2025-10-19,35.0,5.0,3.0,62087.0,230.0,20695.67,76.67,27960.0,2025-09-15~2025-09-21,1.0,1.0,-0.423,0.0,0.0,False,上映中,2025-09-15,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30062,鬼吹簫,THE PIPER,美國,輔12級,2025-10-09,車庫娛樂股份有限公司,,埃林格爾托羅森,朱利安山德斯; 夏綠蒂霍普,30062_鬼吹簫.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
30091,大濛,A Foggy Tale,中華民國,保護級,2025-10-08,華文創股份有限公司,,,,30091_大濛.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
30155,QUEER,QUEER,美國,限制級,2025-03-21,采昌國際多媒體股份有限公司,,盧卡格達戈尼諾,德魯史塔基; 丹尼爾克雷格; 蕾絲莉蔓薇爾,30155_QUEER.csv,QUEER,1.0,False,2025-03-24,2025-05-11,49.0,7.0,7.0,1188680.0,4777.0,169811.43,682.43,715372.0,2025-03-24~2025-03-30,28.0,10.86,-0.619,-0.35,-0.086,False,下檔,2025-03-24,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30366,取精急轉彎,Spermageddon,挪威,輔15級,2025-04-25,原創娛樂股份有限公司,,雷斯穆斯a席維特森; 湯姆維爾科拉,克里斯蒂安弗雷德里克米克爾森; 雅斯肯尼; 娜絲琳庫斯拉維,30366_取精急轉彎.csv,取精急轉彎,1.0,False,2025-04-28,2025-06-22,56.0,8.0,8.0,7431564.0,27325.0,928945.5,3415.62,4519567.0,2025-04-28~2025-05-04,53.0,25.62,-0.628,-0.652,-0.76,False,下檔,2025-04-28,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30436,泣聲驚魂,The Wailing,西班牙,輔15級,2025-05-09,原創娛樂股份有限公司,,佩德羅馬丁卡萊羅,瑪萊娜比利亞; 伊絲特伊克斯波席多; 瑪蒂爾德奧利維,30436_泣聲驚魂.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
30497,沈睡的水下巨人,SHIPWRECKS TAIWAN,中華民國,普遍級,2025-04-25,牽猴子股份有限公司,,李景白; 李景白; 李景白,,30497_沈睡的水下巨人.csv,沈睡的水下巨人,1.0,False,2025-04-28,2025-07-06,70.0,10.0,10.0,2011708.0,8087.0,201170.8,808.7,1034306.0,2025-04-28~2025-05-04,30.0,10.5,-0.623,4.379,-0.416,False,下檔,2025-04-28,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30530,守護我們的星球,Guardians of our planet,中華民國,普遍級,2025-05-23,牽猴子股份有限公司,,舒夢蘭,,30530_守護我們的星球.csv,守護我們的星球,1.0,False,2025-05-26,2025-10-26,154.0,22.0,21.0,6984784.0,28344.0,332608.76,1349.71,887446.0,2025-06-02~2025-06-08,37.0,11.19,0.187,0.794,-0.831,True,上映中,2025-05-26,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30560,長椅小情歌,AT THE BENCH,日本,普遍級,2025-07-18,光年映畫有限公司,,奧山由之,廣瀨鈴; 草彅剛; 吉岡里帆; 仲野太賀; 神木隆之介,30560_長椅小情歌.csv,長椅小情歌,1.0,False,2025-07-21,2025-10-26,98.0,14.0,14.0,1750310.0,7217.0,125022.14,515.5,504818.0,2025-07-21~2025-07-27,23.0,5.93,-0.165,-0.175,-0.514,True,上映中,2025-07-21,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30636,怪譚搜索,BLOAT,美國,輔12級,2025-06-06,原創娛樂股份有限公司,,帕普蘿艾森圖,班傑明麥肯錫; 索耶瓊斯; 寶珍娜諾娃柯維克; 小杉健,30636_怪譚搜索.csv,怪譚搜索,1.0,False,2025-06-09,2025-07-06,28.0,4.0,4.0,69334.0,268.0,17333.5,67.0,64214.0,2025-06-09~2025-06-15,22.0,6.75,-0.954,-0.564,-0.569,False,下檔,2025-06-09,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30655,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,韓國,普遍級,2025-05-09,采昌國際多媒體股份有限公司,,,,30655_ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS.csv,ATEEZ WORLD TOUR [TOWARDS THE LIGHT：WILL TO POWER] IN CINEMAS,2.0,True,2025-09-15,2025-10-12,28.0,4.0,2.0,151500.0,242.0,75750.0,121.0,82500.0,2025-09-15~2025-09-21,1.0,1.0,-0.164,0.0,0.0,False,下檔,2025-05-12,2025-10-29 14:04:00,1.0,4498120.0,64.0,642588.57
30676,我們意外的勇氣,Unexpected Courage,中華民國,普遍級,2025-10-02,華文創股份有限公司,,,,30676_我們意外的勇氣.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,
30699,此刻的我們,We Live In Time,美國,輔12級,2025-05-16,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,,約翰克勞利,安德魯加菲爾德; 佛蘿倫絲普伊,30699_此刻的我們.csv,此刻的我們,1.0,False,2025-05-19,2025-06-15,28.0,4.0,4.0,240013.0,971.0,60003.25,242.75,165783.0,2025-05-19~2025-05-25,20.0,9.75,-0.691,-0.47,-0.532,False,下檔,2025-05-19,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
30704,造山者－世紀的賭注,A Chip Odyssey,中華民國,普遍級,2025-06-13,視納華仁文化傳播股份有限公司,,蕭菊貞,,30704_造山者－世紀的賭注.csv,造山者－世紀的賭注,1.0,False,2025-06-16,2025-10-26,133.0,19.0,19.0,29012911.0,116609.0,1526995.32,6137.32,3858264.0,2025-06-23~2025-06-29,59.0,27.21,0.06,-0.086,-0.401,True,上映中,2025-06-16,2025-10-29 14:04:00,0.0,0.0,0.0,0.0
