gov_id,title_zh,release_round,is_re_release,official_release_date,release_start,release_end,release_days,total_weeks,active_weeks,total_amount,total_tickets,avg_amount_per_week,avg_tickets_per_week,peak_amount,peak_amount_week,peak_theater_count,avg_theater_count,amount_growth_rate,decline_rate_mean,decline_rate_last,is_long_tail,status,release_initial_date,update_at,previous_round_count,previous_total_amount,re_release_gap_days,previous_avg_amount
31123,侏羅紀世界：重生,1,False,2025-07-01,2025-07-07,2025-10-26,112,16,16,189330332.0,675689.0,11833145.75,42230.56,83206320.0,2025-07-07~2025-07-13,94,47.06,-0.433,-0.266,-0.243,True,上映中,2025-07-07,2025-10-29 12:08:36,0,0.0,0,0.0
31128,窒友梅根 2.0,2,True,2025-06-27,2025-09-08,2025-10-12,35,5,5,87265.0,808.0,17453.0,161.6,40305.0,2025-09-15~2025-09-21,2,1.4,1.259,-0.12,-0.675,False,下檔,2025-06-30,2025-10-29 12:08:36,1,7296069.0,22,1042295.57
31158,黑白線人,1,False,2025-09-05,2025-09-08,2025-10-05,28,4,4,661819.0,2528.0,165454.75,632.0,503703.0,2025-09-08~2025-09-14,38,20.0,-0.722,-0.601,-0.876,False,下檔,2025-09-08,2025-10-29 12:08:36,0,0.0,0,0.0
31159,皇家保姆亞瑟,1,False,2025-10-03,2025-10-06,2025-10-26,21,3,3,81032.0,327.0,27010.67,109.0,66212.0,2025-10-06~2025-10-12,18,9.0,-0.881,-0.404,-0.122,False,上映中,2025-10-06,2025-10-29 12:08:36,0,0.0,0,0.0
31186,超人,1,False,2025-07-08,2025-07-14,2025-10-26,105,15,14,48114762.0,168334.0,3436768.71,12023.86,27826177.0,2025-07-14~2025-07-20,95,35.07,-0.611,-0.435,-0.235,True,上映中,2025-07-14,2025-10-29 12:08:36,0,0.0,0,0.0
31190,電影哆啦A夢：大雄的繪畫世界物語,1,False,2025-07-18,2025-07-21,2025-10-26,98,14,14,45356659.0,176110.0,3239761.36,12579.29,13994814.0,2025-07-21~2025-07-27,86,42.57,-0.207,-0.228,0.973,True,上映中,2025-07-21,2025-10-29 12:08:36,0,0.0,0,0.0
31191,病毒,1,False,2025-09-19,2025-09-22,2025-10-12,21,3,3,294516.0,1219.0,98172.0,406.33,265281.0,2025-09-22~2025-09-28,68,31.67,-0.891,-0.779,-0.988,False,下檔,2025-09-22,2025-10-29 12:08:36,0,0.0,0,0.0
31201,壞蛋聯盟 2,1,False,2025-07-26,2025-07-28,2025-10-26,91,13,12,17377997.0,67698.0,1448166.42,5641.5,5426184.0,2025-08-04~2025-08-10,91,35.75,0.072,8.548,1.541,True,上映中,2025-07-28,2025-10-29 12:08:36,0,0.0,0,0.0
31251,藍色小精靈大電影,2,True,2025-07-18,2025-10-06,2025-10-26,21,3,3,22575.0,301.0,7525.0,100.33,11250.0,2025-10-06~2025-10-12,1,1.0,-0.467,-0.193,-0.112,False,上映中,2025-07-21,2025-10-29 12:08:36,1,2548896.0,29,364128.0
31301,我在荒野做了一場夢,1,False,2025-08-22,2025-08-25,2025-10-26,63,9,9,2829261.0,11731.0,314362.33,1303.44,611002.0,2025-08-25~2025-08-31,23,11.67,-0.003,-0.218,-0.475,False,上映中,2025-08-25,2025-10-29 12:08:36,0,0.0,0,0.0
